Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cyprus,CYP,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,CZE,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.48605867,40.86877225,39.92884496,31.49092686,24.03128892,17.96504975,12.25852713,11.83435077,15.22474488,15.40755184,14.40952464,13.80150366,22.28237214,22.27263092,27.21369653,37.47611757,63.97456292,60.93417912,61.29653138,55.8167545,52.71978719
Germany,DEU,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725532336,4.929345073,2.062600172,1.137022879,1.867794882,2.322763228,2.243390488,2.244516701,4.72311295,6.092870921,6.770122821,8.239389418,8.783962397,7.11459381,8.316430795,13.75114941,8.885462129,10.94709161,13.49059445,9.913931586
Dominica,DMA,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.664160666,14.72240346,11.88020687,8.330040664,8.678447468,9.648153082,12.8905363,7.227751996,7.498964556,8.434261984,10.29515188,11.76656733,12.76634328,13.37074097,16.19148295,29.82640757,20.74375486,16.9617464,19.16511803,19.00208315,20.22021096
Denmark,DNK,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.306539471,7.514755165,5.982099809,5.697945453,6.185465091,4.298928295,4.302002048,2.789395278,3.86251147,2.761453456,3.280628258,5.412068933,4.340612842,2.869696974,2.680534869,3.675332943,3.525880811,3.972882981,3.824275884,2.526578086,2.615958869
Dominican Republic,DOM,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37125725,16.66600869,37.66118202,51.56378465,53.52903721,45.67097543,39.42254346,37.87127852,41.60121261,44.02210231,45.94162346,43.31232702,40.97122973,36.09711628,33.61559529,34.81490609,33.78086155,31.42947227,34.99627395,42.7480862,52.45729829
Algeria,DZA,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4854291,43.38840546,60.00097116,60.21335008,52.6899546,73.17686302,99.92188308,115.7186398,84.9693732,86.03916627,83.35074986,73.99407014,59.29100682,49.29128864,33.08984238,17.46490177,23.15590368,22.99509724,17.45854683,14.6126163,25.03722051
East Asia & Pacific (excluding high income),EAP,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.54085163,15.95462666,18.80786802,23.42791628,18.20320039,20.01333417,19.57285089,16.86784833,24.48386987,29.7122898,32.26404571,26.28757222,22.4230111,21.92555906,20.95883638,23.00248636,24.30332325,22.71460264,23.83486663,28.33349373,27.28941473
Early-demographic dividend,EAR,Bank liquid reserves to bank assets ratio (%),FD.RES.LIQU.AS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.54085163,16.87858375,17.99315902,20.2412096,18.75610142,19.14963865,18.74942308,20.88144199,23.67103884,24.5807447,23.20939954,21.60817176,21.71432569,22.00112091,22.83092358,21.55530279,22.96077614,22.06562174,21.43984052,24.10669492,25.03722051
